id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28879129,Watsons Bay Apartment,64567606,Angela,,Woollahra,-33.84399993962767,151.2834424230492,Private room,100,2,0,,,1,25
28880926,burwood 一房一厅一学习房,217722497,彼德   Peter,,Burwood,-33.87785776614593,151.10302647767188,Entire home/apt,180,8,1,,,5,364
28881170,room in a townhouse complex,217723076,Huzi,,Ryde,-33.783916234769706,151.09896584436993,Private room,55,1,0,,,1,89
28881191,2 bedroom Kensington apartment with City/Park view,13550759,Hao,,Randwick,-33.90831882142078,151.22213954071202,Entire home/apt,150,20,0,,,1,19
28881800,Unit 5 Boutique Apartments in Grand Manor House,152921267,Tuscan,,Rockdale,-33.94117694369655,151.13830605601598,Entire home/apt,105,2,2,2018-11-22,2,2,354
28884779,Manly room,159985851,Fernanda,,Manly,-33.7949284105185,151.28135629672093,Private room,60,4,0,,,1,75
28891205,Burwood one bedroom,217789850,Yiyi,,Burwood,-33.88226150549881,151.10124777616565,Private room,51,1,0,,,1,90
28891367,"Number 1 Windmill, minutes to the city",88800829,Karen,,Sydney,-33.85722714152711,151.2036525405558,Entire home/apt,320,3,5,2018-11-20,3.41,14,307
28891694,"Rose Bay 5 Bed, 4 bath Family Home with Pool",28532205,Jenny,,Waverley,-33.87119135190834,151.2782991194575,Entire home/apt,850,3,1,,,1,83
28893082,Paradise Found,7060337,Sheridan,,Pittwater,-33.648942209786995,151.3213840451341,Entire home/apt,329,3,1,2018-11-25,1,1,53
28893151,Golf Course retreat,217808192,Eman,,Parramatta,-33.812345157507565,150.99145586016746,Private room,90,1,1,2018-11-18,1,1,356
28893266,Own room single bed windows for female only,21763421,Kl,,Ashfield,-33.885935608562995,151.13834016318663,Private room,33,90,0,,,1,363
28894505,Entire apartment 5 minutes walk from Bondi Beach,31216303,Willian,,Waverley,-33.885078612629464,151.27978791479444,Entire home/apt,199,3,0,,,2,16
28895252,Victorian Terrace (House) in Camperdown,59259800,Sam,,Marrickville,-33.89502406096943,151.17296855877206,Entire home/apt,475,3,0,,,1,58
28895676,Erko home with a pool,150060551,Christian,,Sydney,-33.90025184661904,151.1828882572624,Entire home/apt,500,7,0,,,1,0
28895814,Relaxing room in a new townhouse,217827606,Christine,,Blacktown,-33.7565841956886,150.9022385934405,Private room,50,1,1,2018-10-11,0.52,1,76
28896725,The Unique One*3 beds loft apt@heart of Waterloo,181698992,Aaron,,Sydney,-33.90154705809794,151.21146740319443,Entire home/apt,256,1,4,2018-11-22,2.67,35,73
28896807,Private room in Bondi Junction,64875652,Gerardo,,Waverley,-33.89481321491064,151.25227296106092,Private room,47,1,19,2018-12-01,8.91,1,81
28896811,Sydney cbd 100,213662643,Panjapon,,Sydney,-33.872459423096174,151.19770115502328,Private room,379,1,0,,,2,124
28897737,Large Moderm newly settle Appartment,64489783,Mario,,Sydney,-33.918241605778086,151.20066979223745,Entire home/apt,65,1,3,2018-11-26,2.05,2,83
28898048,Private guesthouse in the quiet suburbs of Sydney.,12960791,Adriana,,Hurstville,-33.9601352396401,151.07790324007436,Entire home/apt,150,3,1,2018-11-19,1,1,69
28898089,"Modern Room Near the Airport, Close to City",85611377,Binita,,Botany Bay,-33.92252261825543,151.19227296940537,Private room,55,2,3,2018-11-23,3,2,67
28898466,Quintessential Balmain Living - Townhouse,132397345,Belinda,,Leichhardt,-33.857030665190734,151.18201059266877,Entire home/apt,320,2,0,,,1,9
28899366,Modern Spilt level city view apartment,217851391,Alexandra,,Sydney,-33.9031925109323,151.20781330270083,Entire home/apt,190,15,1,2018-09-29,0.43,1,153
28899576,精装小别墅,182752945,艾米,,Rockdale,-33.94354151748419,151.13359245410848,Entire home/apt,399,2,0,,,2,362
28899861,Beach House Curl Curl (near Manly),127470364,Craig,,Warringah,-33.76747799885334,151.29036722508405,Entire home/apt,850,6,0,,,2,14
28899885,One bedroom apartment 20min to CBD and everything,46438474,Grace,,Canterbury,-33.911576782337136,151.11653974599014,Entire home/apt,90,2,1,2018-11-18,1,1,183
28900049,2mins from the beautiful Dee Why beach,2722953,Laura,,Warringah,-33.75319585618779,151.29306657775535,Entire home/apt,120,2,1,2018-11-30,1,1,152
28900209,Family Fun 3 Specious Bedroom Apt@Epping,181698992,Aaron,,Parramatta,-33.78278614152694,151.07132440407298,Entire home/apt,183,2,8,2018-11-20,3.87,35,141
28900283,Avalon Beach Escape (1 Bedroom),23088328,Sue,,Pittwater,-33.63700522059291,151.32573963451415,Entire home/apt,130,1,4,2018-11-29,3.16,2,54
28900818,"Botany (bus to beaches, airport, city centre) G2",89055049,Matthew,,Botany Bay,-33.949055686058266,151.2071868174611,Private room,65,1,7,2018-11-28,3.04,2,19
28901707,A Pittwater Paradise on Scotland Island,178319644,Louise,,Pittwater,-33.64161471849783,151.2965400753789,Entire home/apt,120,2,4,2018-12-03,1.97,1,359
